No,Species,Light,Microbe,Adult,Bench,Harvest,Time,Event,AMFCount,AMFIntersections,AMF,Phenolics,NSC,Lignin,AMF_Imp,PHN_Imp,NSC_Imp,LIG_Imp
17,Acne,Low,Large,10,1,NA,63,1,NA,NA,NA,NA,NA,NA,1,0.35,10.18,6.2
28,Acne,Low,Large,9,1,6,42,0,NA,NA,NA,NA,9.14,NA,0,0.15,8.8,6.37
29,Acru,Low,Large,1,1,6,42,0,NA,NA,NA,NA,10.6,NA,0.05,0,6.5,4.65
34,Acne,Low,Large,9,1,9,63,0,NA,NA,NA,NA,12.01,NA,0.38,0.2,8.95,7.64
36,Acsa,Low,Large,6,1,3,21,0,NA,NA,NA,NA,9.81,NA,0,0.31,9.8,7.82
39,Acru,Low,Large,2,1,3,21,0,23,69,33.33,0.02,NA,6.87,0,0.59,13,13.44
40,Acsa,Low,Large,5,1,6,42,0,NA,NA,NA,NA,9.55,NA,0.6,-0.01,3.03,7.77
42,Acsa,Low,Large,7,1,6,42,0,64,90,71.11,0.18,NA,11.8,0,-0.06,5.82,6.55
51,Acsa,Low,Large,6,1,3,21,0,66,100,66,0.1,NA,10.38,0,0.27,11.71,14.49
54,Acne,Low,Large,10,1,3,21,0,50,100,50,0.04,NA,5.79,0.69,-0.03,2.92,8.54
61,Acne,Low,Large,10,1,6,42,0,64,100,64,0.17,NA,4.47,0.69,-0.03,4.03,8.54
65,Acne,Low,Large,11,1,9,63,0,74,86,86.05,0.08,NA,6.44,0.74,-0.03,4.8,8.49
71,Acne,Low,Large,9,1,NA,22,1,NA,NA,NA,NA,NA,NA,0,0.24,11.54,17.18
73,Acsa,Low,Large,6,1,6,42,0,48,100,48,0.16,NA,10.58,0.69,-0.03,2.75,8.54
77,Acru,Low,Large,3,1,3,21,0,29,100,29,-0.08,NA,5.81,0,-0.02,5.6,5.02
80,Acru,Low,Large,3,1,6,42,0,NA,NA,NA,NA,12.11,NA,0.38,0.2,8.95,7.64
87,Acsa,Low,Large,5,1,9,63,0,NA,NA,NA,NA,10.48,NA,0,0.28,9.95,7.26
94,Acru,Low,Large,1,1,9,63,0,NA,NA,NA,NA,9.37,NA,1.65,0.06,3.9,9.69
96,Acru,Low,Large,3,1,9,63,0,NA,NA,NA,NA,6.92,NA,0,-0.01,5.57,8.75
97,Acne,Low,Large,11,1,NA,49,1,NA,NA,NA,NA,NA,NA,7.54,0.38,12.97,11.6
99,Acne,Low,Large,9,1,3,21,0,66,100,66,-0.08,NA,6.06,1.65,0.06,2.23,9.69
111,Acsa,Low,Large,5,1,9,63,0,69,100,69,0.2,NA,11.72,0.67,-0.02,5.73,7.52
117,Acne,Low,Large,10,1,9,63,0,76,100,76,-0.02,NA,5.5,0,0,6.62,1.95
122,Acru,Low,Large,3,1,NA,24,1,NA,NA,NA,NA,NA,NA,0,-0.08,5.72,7.93
123,Acru,Low,Large,3,1,3,21,0,NA,NA,NA,NA,6.12,NA,0,0.41,10.1,5.15
124,Acru,Low,Large,1,1,9,63,0,56,67,83.58,0.07,NA,10.41,0.69,-0.03,2.92,8.54
127,Acru,Low,Large,2,1,6,42,0,51,100,51,-0.08,NA,10.11,0.67,-0.02,5.73,7.52
131,Acru,Low,Large,1,1,NA,24,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.98,8.54
138,Acne,Low,Large,9,1,6,42,0,74,100,74,0.02,NA,4.9,0,-0.06,6.59,11.82
142,Acru,Low,Large,2,1,NA,63,1,NA,NA,NA,NA,NA,NA,0,0.19,11.06,13.86
151,Acru,Low,Large,1,1,3,21,0,53,98,54.08,-0.22,NA,7.24,0.03,0.17,8.7,5.93
154,Acne,Low,Large,11,1,3,21,0,NA,NA,NA,NA,6.29,NA,0.67,-0.02,5.73,7.52
155,Acru,Low,Large,3,1,6,42,0,38,100,38,-0.05,NA,3.42,0.69,-0.03,4.06,8.54
159,Acru,Low,Large,3,1,3,21,0,26,66,39.39,0.04,NA,7.07,0,-0.02,6.39,5.35
169,Acru,Low,Large,2,1,9,63,0,48,100,48,-0.08,NA,7.03,0.38,0.2,8.95,7.64
170,Acsa,Low,Large,5,1,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,3.48,8.54
171,Acsa,Low,Large,7,1,3,21,0,46,80,57.5,-0.03,NA,12.22,0.39,0.21,9.06,7.65
181,Acsa,Low,Large,6,1,9,63,0,62,100,62,0.01,NA,17.3,0.38,0.2,8.95,7.64
186,Acru,Low,Large,1,1,6,42,0,34,100,34,-0.11,NA,10.36,0,0.35,11.4,12.01
199,Acru,Low,Large,2,1,NA,63,1,NA,NA,NA,NA,NA,NA,0.94,0.05,6.29,9.48
213,Acsa,Low,Large,5,1,3,21,0,49,100,49,0.25,NA,13.61,0,0.2,9.26,7.23
216,Acru,Low,Large,1,1,6,42,0,NA,NA,NA,NA,NA,NA,0.69,-0.03,3.07,8.54
220,Acsa,Low,Large,7,1,6,42,0,NA,NA,NA,NA,12.02,NA,0.36,0.17,8.42,9.04
229,Acsa,Low,Large,7,1,9,63,0,NA,NA,NA,NA,8.96,NA,0.92,-0.01,5.02,7.8
233,Acsa,Low,Large,6,1,NA,23,1,NA,NA,NA,NA,NA,NA,0,0.42,11.48,11.32
235,Acsa,Low,Large,6,1,3,21,0,NA,NA,NA,NA,8.62,NA,0,0.46,12.11,11.94
238,Acne,Low,Large,10,1,NA,40,1,NA,NA,NA,NA,NA,NA,0,-0.02,4.8,9.13
243,Acru,Low,Large,1,1,9,63,0,NA,NA,NA,NA,9.72,NA,0,-0.19,6.43,5.59
249,Acsa,Low,Large,7,1,NA,29,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.92,8.54
255,Acsa,Low,Large,6,1,6,42,0,NA,NA,NA,NA,9.56,NA,0.69,-0.03,2.92,8.54
259,Acsa,Low,Large,5,1,6,42,0,72,100,72,-0.02,NA,11.54,0,0.09,7.99,5.35
264,Acne,Low,Large,9,1,9,63,0,65,100,65,0.03,NA,8.54,0.03,0.01,6.75,5.34
271,Acne,Low,Large,11,1,6,42,0,NA,NA,NA,NA,4.85,NA,1.64,0.08,6.1,9.61
274,Acsa,Low,Large,7,1,3,21,0,NA,NA,NA,NA,9.77,NA,0.67,-0.02,5.73,7.52
277,Acru,Low,Large,2,1,3,21,0,NA,NA,NA,NA,5.85,NA,0.67,-0.02,5.73,7.52
282,Acne,Low,Large,11,1,9,63,0,NA,NA,NA,NA,12.59,NA,0,0.38,9.94,4.78
294,Acne,Low,Large,11,1,NA,63,1,NA,NA,NA,NA,NA,NA,0.67,-0.02,5.73,7.52
299,Acsa,Low,Large,6,1,NA,63,1,NA,NA,NA,NA,NA,NA,0,-0.03,4.88,8.13
317,Acsa,Low,Large,7,1,6,42,0,70,100,70,0.12,NA,12.61,0.69,-0.03,4.51,8.54
323,Acne,Low,Large,9,1,NA,63,1,NA,NA,NA,NA,NA,NA,0,0.21,8.99,4.44
326,Acru,Low,Large,2,1,6,42,0,NA,NA,NA,NA,10.47,NA,0,0.34,9.91,1.35
327,Acru,Low,Large,3,1,9,63,0,59,100,59,-0.29,NA,3.78,0,0.01,6.45,7.84
330,Acsa,Low,Large,5,1,9,63,0,NA,NA,NA,NA,11.74,NA,0.86,0.18,9.03,5.86
332,Acne,Low,Large,10,1,3,21,0,NA,NA,NA,NA,12.65,NA,0,-0.05,5.85,5.2
335,Acsa,Low,Large,7,1,9,63,0,75,98,76.53,0.05,NA,11.53,0,0.23,8.85,10.19
353,Acne,Low,Large,10,1,6,42,0,NA,NA,NA,NA,18.16,NA,0.96,0.05,6.24,9.47
355,Acne,Low,Large,11,1,3,21,0,53,100,53,0.05,NA,5.5,0.6,-0.02,5.7,7.5
361,Acsa,Low,Large,7,1,3,21,0,22,52,42.31,0.03,NA,7.72,0.38,0.02,6.85,5.3
363,Acne,Low,Large,11,1,6,42,0,68,100,68,0.16,NA,7.13,0,0.08,6.97,10.18
370,Acsa,Low,Large,5,1,6,42,0,NA,NA,NA,NA,12.27,NA,0.92,-0.01,5.46,7.74
373,Acsa,Low,Large,6,1,9,63,0,NA,NA,NA,NA,9.45,NA,1,-0.02,6.37,6.18
381,Acne,Low,Large,10,1,9,63,0,NA,NA,NA,NA,7.88,NA,0.69,-0.03,0.44,8.54
393,Acne,Low,Large,9,1,3,21,0,NA,NA,NA,NA,12.52,NA,1,0.3,10.03,9.32
395,Acru,Low,Large,2,1,9,63,0,NA,NA,NA,NA,10.89,NA,0.38,0.2,8.95,7.64
402,Acru,Low,Large,3,2,NA,42,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,3.16,8.54
403,Acru,Low,Large,2,2,9,63,0,50,99,50.51,0.1,NA,8.25,0.67,-0.02,5.73,7.52
409,Acne,Low,Large,11,2,9,63,0,70,100,70,-0.08,NA,5.31,0.37,0.24,9.29,8.87
411,Acsa,Low,Large,7,2,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.92,8.54
412,Acne,Low,Large,11,2,NA,31,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,1.88,8.54
413,Acru,Low,Large,1,2,NA,21,1,NA,NA,NA,NA,NA,NA,0.78,0.39,11.87,10.86
415,Acsa,Low,Large,6,2,9,63,0,77,100,77,-0.01,NA,10.71,0.64,0,6.67,5.08
416,Acne,Low,Large,11,2,3,21,0,NA,NA,NA,NA,13.67,NA,0.69,-0.03,2.92,8.54
421,Acne,Low,Large,10,2,NA,31,1,NA,NA,NA,NA,NA,NA,0.6,-0.01,5.82,7.18
436,Acru,Low,Large,3,2,3,21,0,NA,NA,NA,NA,8.09,NA,0.69,-0.03,2.92,8.54
446,Acne,Low,Large,9,2,6,42,0,NA,NA,NA,NA,11.83,NA,0.69,-0.03,3.62,8.54
448,Acru,Low,Large,2,2,NA,36,1,NA,NA,NA,NA,NA,NA,0.67,-0.02,5.73,7.52
452,Acsa,Low,Large,6,2,NA,63,1,NA,NA,NA,NA,NA,NA,0,-0.04,4.59,8.65
454,Acne,Low,Large,9,2,9,63,0,NA,NA,NA,NA,10.12,NA,2,-0.05,5.9,7.79
459,Acru,Low,Large,2,2,3,21,0,48,100,48,-0.12,NA,6.68,0.69,-0.03,3.19,8.54
461,Acru,Low,Large,3,2,NA,63,1,NA,NA,NA,NA,NA,NA,0,0.02,6.85,3.85
465,Acru,Low,Large,1,2,3,21,0,NA,NA,NA,NA,7.49,NA,0,0.24,8.66,5.23
469,Acru,Low,Large,1,2,6,42,0,28,62,45.16,0.02,NA,7.61,0.38,0.2,8.95,7.64
477,Acsa,Low,Large,6,2,3,21,0,48,100,48,-0.04,NA,10.53,0.69,-0.03,1.29,8.54
481,Acne,Low,Large,10,2,3,21,0,60,100,60,0.04,NA,5.37,0,0.15,10.07,12.31
482,Acne,Low,Large,9,2,NA,63,1,NA,NA,NA,NA,NA,NA,0,0.51,10.74,6.3
489,Acsa,Low,Large,7,2,NA,32,1,NA,NA,NA,NA,NA,NA,0.38,0.2,8.95,7.64
491,Acsa,Low,Large,5,2,NA,63,1,NA,NA,NA,NA,NA,NA,0.85,0.05,6.77,9.5
500,Acne,Low,Large,10,2,6,42,0,56,98,57.14,-0.09,NA,8.56,0,0.43,10.68,8.52
504,Acsa,Low,Large,5,2,3,21,0,NA,NA,NA,NA,9.01,NA,0.67,-0.02,5.73,7.52
514,Acsa,Low,Large,6,2,6,42,0,62,100,62,0.01,NA,14.75,0.06,0,6.56,4.55
523,Acru,Low,Large,3,2,6,42,0,NA,NA,NA,NA,8.67,NA,0.38,0.2,8.95,7.64
528,Acsa,Low,Large,5,2,6,42,0,72,86,83.72,0.09,NA,11.05,0,0.37,11.86,12.99
535,Acsa,Low,Large,7,2,3,21,0,NA,NA,NA,NA,12.09,NA,0,-0.02,6.4,4.4
540,Acne,Low,Large,11,2,6,42,0,NA,NA,NA,NA,11.66,NA,4.31,0.38,12.35,11.16
542,Acru,Low,Large,1,2,3,21,0,31,100,31,-0.16,NA,8.56,0.05,-0.01,6.68,4.7
544,Acne,Low,Large,10,2,9,63,0,72,100,72,0.11,NA,7.01,0.6,-0.01,4.19,7.77
545,Acsa,Low,Large,6,2,9,63,0,NA,NA,NA,NA,9.8,NA,0,0.32,9.93,9.92
552,Acru,Low,Large,2,2,6,42,0,NA,NA,NA,NA,NA,NA,0,0.01,6.55,6.18
560,Acne,Low,Large,9,2,3,21,0,70,100,70,-0.01,NA,3.78,0.3,0.35,10.98,11.61
573,Acne,Low,Large,9,2,6,42,0,72,100,72,-0.01,NA,1.77,0.67,-0.02,5.73,7.52
575,Acsa,Low,Large,7,2,6,42,0,NA,NA,NA,NA,8.86,NA,0,0.1,8.12,5.18
585,Acru,Low,Large,3,2,9,63,0,NA,NA,NA,NA,11.15,NA,0.69,-0.03,2.92,8.54
591,Acsa,Low,Large,5,2,9,63,0,64,100,64,-0.17,NA,12.17,0,-0.06,6.44,3.18
599,Acsa,Low,Large,7,2,9,63,0,NA,NA,NA,NA,10.1,NA,0,-0.06,5.47,10.47
605,Acsa,Low,Large,6,2,NA,59,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.92,8.54
608,Acne,Low,Large,10,2,NA,31,1,NA,NA,NA,NA,NA,NA,0,0.01,6.9,6.61
612,Acsa,Low,Large,5,2,3,21,0,65,100,65,-0.03,NA,4.96,7.51,0.38,13.06,11.49
620,Acru,Low,Large,1,2,NA,63,1,NA,NA,NA,NA,NA,NA,0,0.36,11.35,11.71
625,Acne,Low,Large,10,2,3,21,0,NA,NA,NA,NA,12.06,NA,0,0.17,10.85,13.61
629,Acsa,Low,Large,5,2,NA,63,1,NA,NA,NA,NA,NA,NA,0,0.21,9.41,8.62
644,Acsa,Low,Large,6,2,6,42,0,NA,NA,NA,NA,11.05,NA,0.67,-0.02,5.73,7.52
647,Acne,Low,Large,10,2,6,42,0,NA,NA,NA,NA,5.06,NA,0.82,0.13,8.16,9.43
657,Acru,Low,Large,1,2,9,63,0,44,100,44,0.1,NA,9.3,0.69,-0.03,4.27,8.54
662,Acru,Low,Large,1,2,NA,24,1,NA,NA,NA,NA,NA,NA,0.38,0.2,8.95,7.64
668,Acru,Low,Large,2,2,6,42,0,NA,NA,NA,NA,7.66,NA,0.69,-0.03,2.92,8.54
672,Acne,Low,Large,11,2,9,63,0,NA,NA,NA,NA,7.58,NA,0.64,0,6.67,5.08
673,Acsa,Low,Large,7,2,9,63,0,68,100,68,0.01,NA,9.23,0.38,0.2,8.95,7.64
674,Acsa,Low,Large,5,2,3,21,0,NA,NA,NA,NA,11.19,NA,0.41,0.21,9,8.18
682,Acsa,Low,Large,7,2,NA,63,1,NA,NA,NA,NA,NA,NA,0.38,0.2,8.95,7.64
687,Acsa,Low,Large,5,2,6,42,0,NA,NA,NA,NA,10.92,NA,0.67,-0.02,5.73,7.52
688,Acne,Low,Large,9,2,9,63,0,75,100,75,0.04,NA,7.94,0.38,0.2,8.95,7.64
689,Acsa,Low,Large,5,2,NA,63,1,NA,NA,NA,NA,NA,NA,0.61,0,5.95,6.76
710,Acru,Low,Large,3,2,9,63,0,48,91,52.75,0.08,NA,8.53,0.69,-0.03,2.3,8.54
711,Acru,Low,Large,1,2,3,21,0,NA,NA,NA,NA,10.2,NA,0.05,0.15,8.55,5.79
716,Acru,Low,Large,3,2,NA,30,1,NA,NA,NA,NA,NA,NA,0.92,-0.01,5.38,7.73
729,Acsa,Low,Large,7,2,3,21,0,31,60,51.67,0.18,NA,14.51,0.67,-0.02,5.73,7.52
730,Acsa,Low,Large,6,2,3,21,0,NA,NA,NA,NA,8.41,NA,0,0.47,10.64,5.75
731,Acru,Low,Large,2,2,3,21,0,NA,NA,NA,NA,5.87,NA,0,0.16,8.57,5.01
734,Acne,Low,Large,11,2,NA,40,1,NA,NA,NA,NA,NA,NA,0.1,0.13,8.4,5.74
737,Acru,Low,Large,3,2,6,42,0,39,98,39.8,-0.11,NA,8.22,0.74,0.4,11.9,10.85
740,Acru,Low,Large,1,2,6,42,0,NA,NA,NA,NA,12.11,NA,0.69,-0.03,2.92,8.54
742,Acru,Low,Large,2,2,9,63,0,NA,NA,NA,NA,11.15,NA,0,0.04,6.2,8.44
746,Acsa,Low,Large,6,2,3,21,0,54,100,54,0.05,NA,13.66,0.6,-0.01,3.71,7.77
759,Acne,Low,Large,11,2,3,21,0,57,67,85.07,-0.05,NA,5.35,1,0.05,5.74,10.04
760,Acne,Low,Large,11,2,6,42,0,71,100,71,-0.02,NA,5.5,0,0.17,8.73,9.19
775,Acru,Low,Large,2,2,NA,39,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,0.67,8.54
779,Acru,Low,Large,2,2,3,21,0,47,100,47,0.18,NA,7.02,0.69,-0.03,2.92,8.54
780,Acne,Low,Large,9,2,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.97,8.54
782,Acne,Low,Large,9,2,3,21,0,NA,NA,NA,NA,9.31,NA,0.69,-0.03,2.92,8.54
787,Acru,Low,Large,3,2,3,21,0,28,99,28.28,-0.21,NA,9.93,0,0.14,9.22,10.75
788,Acne,Low,Large,10,2,9,63,0,NA,NA,NA,NA,13.81,NA,0.69,-0.03,2.92,8.54
791,Acne,Low,Large,9,2,6,42,0,NA,NA,NA,NA,7.48,NA,0.53,0.28,9.91,9.13
796,Acne,Low,Large,10,2,NA,34,1,NA,NA,NA,NA,NA,NA,0.43,0.21,8.93,7.62
807,Acne,Low,Large,9,3,9,63,0,NA,NA,NA,NA,5.64,NA,0,0,7.11,11.15
817,Acne,Low,Large,10,3,3,21,0,65,100,65,-0.09,NA,1.79,0.83,0.08,7.01,9.7
818,Acsa,Low,Large,7,3,6,42,0,58,100,58,-0.13,NA,9.6,0,-0.32,4.9,9.7
827,Acne,Low,Large,10,3,6,42,0,63,100,63,0.01,NA,3.79,0.69,-0.03,3.59,8.54
828,Acsa,Low,Large,7,3,6,42,0,NA,NA,NA,NA,10.23,NA,0,0.45,10.75,6.86
832,Acsa,Low,Large,6,3,6,42,0,70,100,70,0.14,NA,10.62,0,0.22,8.78,10.16
836,Acru,Low,Large,1,3,9,63,0,NA,NA,NA,NA,8.48,NA,0,0.58,11.16,10.4
838,Acne,Low,Large,11,3,9,63,0,78,100,78,0,NA,4.26,0.38,0.2,8.95,7.64
842,Acru,Low,Large,1,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.67,-0.02,5.73,7.52
844,Acne,Low,Large,10,3,9,63,0,85,100,85,0.03,NA,3.74,0,0.19,8.82,5.11
846,Acsa,Low,Large,7,3,9,63,0,NA,NA,NA,NA,9.92,NA,0.67,-0.02,5.73,7.52
849,Acru,Low,Large,2,3,6,42,0,56,100,56,-0.01,NA,13.71,0.38,0.2,8.95,7.64
855,Acne,Low,Large,9,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.02,-0.01,6.47,5.09
856,Acne,Low,Large,9,3,3,21,0,68,100,68,0.02,NA,6.86,1,0.23,9.16,8.5
859,Acsa,Low,Large,5,3,9,63,0,NA,NA,NA,NA,10.67,NA,0.92,-0.01,5.45,7.75
863,Acsa,Low,Large,7,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.92,8.54
865,Acsa,Low,Large,5,3,9,63,0,75,100,75,0.11,NA,11.76,0,0.3,11.19,12.14
877,Acru,Low,Large,2,3,9,63,0,42,100,42,-0.19,NA,6.45,0,-0.06,6.41,6.05
885,Acru,Low,Large,3,3,6,42,0,NA,NA,NA,NA,6.83,NA,0,0.2,9,4.09
889,Acne,Low,Large,11,3,NA,63,1,NA,NA,NA,NA,NA,NA,0,0.06,7.05,5.11
894,Acru,Low,Large,1,3,3,21,0,34,97,35.05,0.03,NA,3.65,0.33,-0.01,5.91,7.09
905,Acru,Low,Large,2,3,NA,24,1,NA,NA,NA,NA,NA,NA,0.91,-0.01,5.3,7.75
911,Acru,Low,Large,1,3,9,63,0,64,100,64,0,NA,5.24,1.64,0.08,6.08,9.61
916,Acsa,Low,Large,5,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.92,8.54
917,Acsa,Low,Large,5,3,3,21,0,49,100,49,0.06,NA,10.76,0.67,-0.02,5.73,7.52
938,Acne,Low,Large,10,3,NA,63,1,NA,NA,NA,NA,NA,NA,0,0,5.79,8.51
939,Acru,Low,Large,1,3,6,42,0,45,100,45,-0.06,NA,10.98,0.38,0.17,8.39,9.17
948,Acne,Low,Large,9,3,6,42,0,65,100,65,-0.09,NA,7.57,0,0.33,9.98,6.28
950,Acne,Low,Large,11,3,3,21,0,NA,NA,NA,NA,4.37,NA,0,0.05,6.87,7.75
954,Acsa,Low,Large,7,3,3,21,0,NA,NA,NA,NA,11.82,NA,0.38,0.16,8.38,9.31
955,Acru,Low,Large,2,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.99,8.54
958,Acsa,Low,Large,6,3,9,63,0,61,100,61,-0.04,NA,10.65,0.67,-0.02,5.73,7.52
960,Acne,Low,Large,11,3,6,42,0,NA,NA,NA,NA,9.69,NA,0,0.22,9.13,9.31
965,Acne,Low,Large,11,3,9,63,0,NA,NA,NA,NA,9.11,NA,0.69,-0.03,3.95,8.54
966,Acsa,Low,Large,6,3,NA,41,1,NA,NA,NA,NA,NA,NA,0.38,0.2,8.95,7.64
970,Acsa,Low,Large,6,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.75,8.54
978,Acru,Low,Large,1,3,9,63,0,NA,NA,NA,NA,8.94,NA,0,0.15,9.16,10.65
982,Acru,Low,Large,1,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.64,0,6.67,5.08
988,Acne,Low,Large,10,3,3,21,0,NA,NA,NA,NA,11.78,NA,0,0.1,7.74,6
992,Acne,Low,Large,9,3,9,63,0,71,100,71,0.14,NA,7.4,0,0.07,6.86,9.95
993,Acne,Low,Large,10,3,6,42,0,NA,NA,NA,NA,9.93,NA,0,0.22,9.54,6.99
996,Acsa,Low,Large,5,3,6,42,0,61,100,61,-0.01,NA,14.88,0.69,-0.03,2.92,8.54
1000,Acne,Low,Large,11,3,NA,28,1,NA,NA,NA,NA,NA,NA,0.24,-0.04,6.28,5.91
1003,Acru,Low,Large,3,3,3,21,0,NA,NA,NA,NA,6.82,NA,0,0.13,7.87,9.39
1006,Acsa,Low,Large,7,3,6,42,0,52,100,52,-0.17,NA,12.17,0.69,-0.03,2.92,8.54
1010,Acne,Low,Large,9,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.67,-0.02,5.73,7.52
1012,Acsa,Low,Large,6,3,3,21,0,NA,NA,NA,NA,13.6,NA,1.65,0.06,4.15,9.69
1016,Acru,Low,Large,3,3,9,63,0,NA,NA,NA,NA,5.39,NA,0,0.32,10.33,10.36
1017,Acsa,Low,Large,6,3,6,42,0,NA,NA,NA,NA,8.58,NA,0,-0.03,6.29,6.81
1023,Acsa,Low,Large,7,3,9,63,0,69,100,69,0,NA,12.06,0.69,-0.03,2.61,8.54
1028,Acsa,Low,Large,6,3,9,63,0,NA,NA,NA,NA,9.35,NA,0.38,0.2,8.95,7.64
1034,Acne,Low,Large,10,3,9,63,0,NA,NA,NA,NA,14.17,NA,0.38,0.2,8.95,7.64
1043,Acru,Low,Large,3,3,NA,39,1,NA,NA,NA,NA,NA,NA,0,0.18,8.12,8.69
1048,Acru,Low,Large,1,3,6,42,0,NA,NA,NA,NA,6.52,NA,0,0.21,11.15,16.39
1054,Acne,Low,Large,11,3,3,21,0,53,75,70.67,-0.14,NA,5.59,0.69,-0.03,3.15,8.54
1069,Acru,Low,Large,3,3,3,21,0,24,92,26.09,-0.19,NA,8.1,0,0.34,10.14,10.16
1076,Acne,Low,Large,11,3,6,42,0,84,100,84,0,NA,5.78,0.69,-0.03,2.92,8.54
1080,Acne,Low,Large,9,3,3,21,0,NA,NA,NA,NA,4.99,NA,0,0.09,8.12,5.99
1084,Acru,Low,Large,2,3,9,63,0,NA,NA,NA,NA,8.38,NA,0,0.23,10.9,13.14
1097,Acsa,Low,Large,7,3,3,21,0,43,100,43,0.23,NA,10.61,1,-0.05,5.02,8.87
1102,Acru,Low,Large,2,3,3,21,0,NA,NA,NA,NA,4.92,NA,0.69,-0.03,2.92,8.54
1103,Acsa,Low,Large,5,3,6,42,0,NA,NA,NA,NA,11.46,NA,7.2,0.38,12.68,11.39
1108,Acne,Low,Large,10,3,NA,22,1,NA,NA,NA,NA,NA,NA,1.03,0.08,6.2,9.58
1111,Acru,Low,Large,3,3,6,42,0,36,100,36,0.02,NA,7.95,0.7,-0.03,4.86,8.47
1112,Acsa,Low,Large,6,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.6,-0.01,5.75,7.53
1114,Acru,Low,Large,3,3,9,63,0,69,100,69,-0.28,NA,7.2,0.68,0.12,8.35,5.86
1118,Acru,Low,Large,3,3,NA,36,1,NA,NA,NA,NA,NA,NA,0.67,-0.02,5.73,7.52
1122,Acru,Low,Large,2,3,6,42,0,NA,NA,NA,NA,6.17,NA,0,0.09,8.17,5.72
1125,Acru,Low,Large,2,3,9,63,0,52,93,55.91,-0.12,NA,11.45,0.69,-0.03,2.92,8.54
1131,Acru,Low,Large,3,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.67,-0.02,5.73,7.52
1137,Acne,Low,Large,11,3,9,63,0,63,100,63,0.11,NA,3.99,0.6,-0.01,4.05,7.77
1139,Acne,Low,Large,9,3,6,42,0,NA,NA,NA,NA,4.39,NA,0,0.44,12.97,14.4
1151,Acsa,Low,Large,7,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,4.32,8.54
1159,Acru,Low,Large,2,3,NA,18,1,NA,NA,NA,NA,NA,NA,0.69,-0.03,2.92,8.54
1176,Acsa,Low,Large,5,3,9,63,0,NA,NA,NA,NA,10.28,NA,0.69,-0.03,2.92,8.54
1179,Acne,Low,Large,10,3,3,21,0,62,100,62,-0.1,NA,6.42,0.38,0.2,8.95,7.64
1182,Acsa,Low,Large,5,3,NA,56,1,NA,NA,NA,NA,NA,NA,0.6,-0.01,3.15,7.77
1190,Acsa,Low,Large,6,3,9,63,0,57,89,64.04,-0.01,NA,11.18,1.61,0.03,5.63,9.36
1191,Acsa,Low,Large,7,3,NA,17,1,NA,NA,NA,NA,NA,NA,0.38,0.2,8.95,7.64
1200,Acne,Low,Large,11,3,NA,63,1,NA,NA,NA,NA,NA,NA,0.38,0.2,8.95,7.64
1210,Acsa,High,Large,7,4,3,21,0,53,100,53,0.24,NA,12.92,9.99,0.42,13.63,11.25
1214,Acne,High,Large,9,4,3,21,0,NA,NA,NA,NA,11.72,NA,0.55,-0.01,6.56,8.31
1216,Acru,High,Large,3,4,3,21,0,48,100,48,0.13,NA,12.77,1.46,0.28,11.5,9.57
1221,Acsa,High,Large,5,4,3,21,0,NA,NA,NA,NA,14.5,NA,0,0.2,10.06,5.45
1227,Acru,High,Large,2,4,3,21,0,32,100,32,0.37,NA,6.34,0,0.24,10.69,13.44
1230,Acru,High,Large,3,4,6,42,0,NA,NA,NA,NA,12.66,NA,0,0.05,7.77,9.44
1231,Acne,High,Large,9,4,6,42,0,NA,NA,NA,NA,18.03,NA,0,0.45,12.25,11.28
1245,Acsa,High,Large,6,4,3,21,0,51,100,51,0.14,NA,10.76,0,0.34,11.23,11.28
1246,Acne,High,Large,10,4,NA,63,1,NA,NA,NA,NA,NA,NA,19.33,0.4,13.29,7.09
1248,Acru,High,Large,3,4,3,21,0,NA,NA,NA,NA,14.27,NA,10.11,0.37,12.3,6.4
1259,Acne,High,Large,11,4,9,63,0,100,100,100,0.31,NA,8.17,1.56,0.25,11.2,9.85
1270,Acru,High,Large,1,4,6,42,0,NA,NA,NA,NA,8.73,NA,0,0.4,11.7,5.73
